point_id,benchmark,kernel,backend,regime,status,error,numerics_ok,max_abs_err,ts_utc,op,tokens,median_us,p10_us,p90_us,min_us,mean_us,repeats,warmup,unstable,graph_median_us,graph_error,l2_flush,eager_median_us,launch_overhead_us,flops,bytes_moved,weight_bytes,achieved_tflops,achieved_gbps,us_per_token,per_step_us,per_step_count,bandwidth_util,compute_util,dtype,environment_hash,git_sha,git_dirty,image_digest,config_hash,kernel_us,kernel_time_source,kernel_gbps,kernel_tflops
87fb99ccacd5,ops_gemm,ops,engine,ops,ok,,,,2026-09-22T17:56:16+00:00,gate_up_proj,1,85.15200018882751,80.75199723243713,94.60799768567085,78.68800312280655,85.91551974415779,50,10,False,53.328000009059906,,False,85.15200018882751,31.82400017976761,356515840.0,178391872.0,178301440.0,4.186816976811041,2094.9815812242796,85.15200018882751,5449.728012084961,64,0.48986747268573655,0.002883286180971971,fp8,f64663495a1b4254,5fe3095cfb8a3825d1ed13d9fa8f996433463941,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,97fe1389edd46f63,53.328000009059906,graph,3345.1821176435074,6.685340532917631
66f724ff10e5,ops_gemm,ops,engine,ops,ok,,,,2026-09-22T17:56:16+00:00,gate_up_proj,8,54.80000004172325,53.98080125451088,55.88800050318241,53.408000618219376,55.61023995280266,50,10,False,54.4000007212162,,False,54.80000004172325,0.39999932050704956,2852126720.0,179024896.0,178301440.0,52.04610798957057,3266.8776617462636,6.850000005215406,3507.200002670288,64,0.7638907750195659,0.03584198324666256,fp8,f64663495a1b4254,5fe3095cfb8a3825d1ed13d9fa8f996433463941,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,97fe1389edd46f63,54.4000007212162,graph,3290.898779899825,52.42879930491729
cfeaa1cacda7,ops_gemm,ops,engine,ops,ok,,,,2026-09-22T17:56:18+00:00,gate_up_proj,32,114.54400047659874,111.74720153212547,126.11199915409088,108.92800241708755,116.93248003721237,50,10,False,53.84000018239021,,False,114.54400047659874,60.70400029420853,11408506880.0,181195264.0,178301440.0,99.59934027562404,1581.8834967006246,3.5795000148937106,7330.816030502319,64,0.36989025467191056,0.06858991043581805,fp8,f64663495a1b4254,5fe3095cfb8a3825d1ed13d9fa8f996433463941,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,97fe1389edd46f63,53.84000018239021,graph,3365.439513116211,211.89648665215745
9edc2a579cb0,ops_gemm,ops,engine,ops,ok,,,,2026-09-22T17:56:21+00:00,gate_up_proj,64,113.72800171375275,111.00480332970619,122.45120108127594,109.0880036354065,116.04160040616989,50,10,False,53.63199859857559,,False,113.72800171375275,60.096003115177155,22817013760.0,184089088.0,178301440.0,200.6279316982039,1618.6786475273022,1.7770000267773867,7278.592109680176,64,0.3784940284253875,0.1381640865092267,fp8,f64663495a1b4254,5fe3095cfb8a3825d1ed13d9fa8f996433463941,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,97fe1389edd46f63,53.63199859857559,graph,3432.4487770420183,425.4365743626417
63f6c923da0a,ops_gemm,ops,engine,ops,ok,,,,2026-09-22T17:56:24+00:00,gate_up_proj,256,140.51199704408646,136.86400651931763,151.5103980898857,135.45599579811096,142.73791998624802,50,10,False,79.28000018000603,,False,140.51199704408646,61.23199686408043,91268055040.0,201452032.0,178301440.0,649.539234798322,1433.6998707433734,0.5488749884534627,8992.767810821533,64,0.3352406238629054,0.4473105727013568,fp8,f64663495a1b4254,5fe3095cfb8a3825d1ed13d9fa8f996433463941,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,97fe1389edd46f63,79.28000018000603,graph,2541.019570416261,1151.2115897171416
d218a48a4786,ops_gemm,ops,engine,ops,ok,,,,2026-09-22T17:56:24+00:00,gate_up_proj,784,257.9199969768524,257.02079236507416,259.04959738254547,256.25601410865784,259.46752071380615,50,10,False,265.392005443573,,False,257.9199969768524,-7.472008466720581,279508418560.0,249200128.0,178301440.0,1083.7020077395746,966.1915746004177,0.3289795879806791,16506.879806518555,64,0.22592362101014998,0.7463003614710229,fp8,f64663495a1b4254,5fe3095cfb8a3825d1ed13d9fa8f996433463941,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,97fe1389edd46f63,265.392005443573,graph,938.9888274271484,1053.1908001253958
223bc36cd394,ops_gemm,ops,engine,ops,ok,,,,2026-09-22T17:56:27+00:00,gate_up_proj,2048,582.2720229625702,577.6351749897003,594.9631869792938,574.9120116233826,584.9625563621521,50,10,False,558.4959983825684,,False,582.2720229625702,23.77602458000183,730144440320.0,363506176.0,178301440.0,1253.9576203662723,624.2892697308367,0.2843125112121925,37265.40946960449,64,0.14597694296154742,0.8635482989467549,fp8,f64663495a1b4254,5fe3095cfb8a3825d1ed13d9fa8f996433463941,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,97fe1389edd46f63,558.4959983825684,graph,650.866213997471,1307.3405045596278
817935cc3981,ops_gemm,ops,engine,ops,ok,,,,2026-09-22T17:56:28+00:00,gate_up_proj,8192,2447.6799964904785,2369.9232816696167,2462.265682220459,2367.136001586914,2432.043504714966,50,10,False,2378.3040046691895,,False,2447.6799964904785,69.37599182128906,2920577761280.0,919120384.0,178301440.0,1193.2024469977978,375.5067595918784,0.2987890620715916,156651.51977539062,64,0.08780437448532928,0.8217087457095118,fp8,f64663495a1b4254,5fe3095cfb8a3825d1ed13d9fa8f996433463941,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,97fe1389edd46f63,2378.3040046691895,graph,386.4604281856075,1228.0085958507389
fd744d70c397,ops_gemm,ops,engine,ops,ok,,,,2026-09-22T17:56:29+00:00,down_proj,1,59.936000034213066,57.59359896183014,71.53920009732246,56.86400085687637,62.06079989671707,50,10,False,32.48000144958496,,False,59.936000034213066,27.455998584628105,178257920.0,89231680.0,89150720.0,2.974137745232342,1488.7827006984814,59.936000034213066,3835.9040021896362,64,0.34812058755343017,0.002048164586278873,fp8,f64663495a1b4254,5fe3095cfb8a3825d1ed13d9fa8f996433463941,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,97fe1389edd46f63,32.48000144958496,graph,2747.2806655659874,5.488236208261555
b8a7f54b0ade,ops_gemm,ops,engine,ops,ok,,,,2026-09-22T17:56:29+00:00,down_proj,8,43.42399910092354,41.145600378513336,56.038399785757086,40.09599983692169,46.19199991226196,100,10,True,32.416000962257385,,False,43.42399910092354,11.007998138666153,1426063360.0,89798400.0,89150720.0,32.84044283175362,2067.9440369205927,5.427999887615442,2779.1359424591064,64,0.4835453104221735,0.02261584289884967,fp8,f64663495a1b4254,5fe3095cfb8a3825d1ed13d9fa8f996433463941,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,97fe1389edd46f63,32.416000962257385,graph,2770.187479465901,43.99257519952553
