point_id,benchmark,kernel,backend,regime,status,error,numerics_ok,max_abs_err,ts_utc,page_size,kind,context,fraction,batch,median_us,p10_us,p90_us,min_us,mean_us,repeats,warmup,unstable,graph_median_us,graph_error,l2_flush,eager_median_us,launch_overhead_us,flops,bytes_moved,kv_bytes,achieved_tflops,achieved_gbps,us_per_new_token,per_step_us,bandwidth_util,compute_util,new_tokens,cached,actual_fraction,environment_hash,git_sha,git_dirty,image_digest,config_hash,kernel_us,kernel_time_source,kernel_gbps,kernel_tflops
203520bcd371,attention_warm,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T00:23:51+00:00,784,warm,7840,0.0,1,1154.3200016021729,1060.9055876731873,1215.1424407958984,1059.5519542694092,1134.9459171295166,50,10,False,1201.5680074691772,,False,1154.3200016021729,-47.248005867004395,755385630720.0,224788480.0,32112640.0,654.3988059390291,194.736710520478,0.1472346940819098,18469.120025634766,0.04553509256441899,0.9139121058307409,7840,0,0.0,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,d3ca5a1da86930eb,1201.5680074691772,graph,187.079281907201,628.6665640432984
91d46cfa7411,attention_warm,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T00:23:52+00:00,784,warm,7840,0.0,8,9786.511898040771,9700.105285644531,9840.895652770996,9698.016166687012,9778.261775970459,50,10,False,9944.25630569458,,False,9786.511898040771,-157.7444076538086,6043085045760.0,1798307840.0,256901120.0,617.4912071552079,183.7537070138356,0.1560349473539664,156584.19036865234,0.042966947708866915,0.8623681527862715,7840,0,0.0,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,d3ca5a1da86930eb,9944.25630569458,graph,180.8388465379959,607.6960267304682
4b1450874080,attention_warm,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T00:23:57+00:00,784,warm,7840,0.0,32,40077.03971862793,39520.34378051758,40531.12449645996,39488.63983154297,40101.88117980957,50,10,False,40163.02490234375,,False,40077.03971862793,-85.98518371582031,24172340183040.0,7193231360.0,1027604480.0,603.1468479894892,179.4850969657962,0.15974585347029627,641232.6354980469,0.04196882283996376,0.8423352869360305,7840,0,0.0,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,d3ca5a1da86930eb,40163.02490234375,graph,179.10083659013029,601.8555684442335
82cb5a04e6e6,attention_warm,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T00:23:57+00:00,784,warm,7840,0.5,1,913.7279987335205,909.913581609726,936.8927776813507,908.128023147583,922.4057590961456,50,10,False,933.9839816093445,,False,913.7279987335205,-20.255982875823975,566515138560.0,128450560.0,32112640.0,620.0041361819082,140.5785531121295,0.2330938772279389,14619.647979736328,0.0328713441416572,0.865877627800211,3920,3920,0.5,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,d3ca5a1da86930eb,933.9839816093445,graph,137.52972484460312,606.5576602115165
2ecab1b9f8c6,attention_warm,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T00:23:58+00:00,784,warm,7840,0.5,8,7421.919822692871,7304.940986633301,7431.379175186157,7295.904159545898,7396.117124557495,50,10,False,7423.360109329224,,False,7421.919822692871,-1.440286636352539,4532121108480.0,1027604480.0,256901120.0,610.6399983765422,138.45534639946536,0.23666836169301247,118750.71716308594,0.03237487681438153,0.852799977255432,3920,3920,0.5,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,d3ca5a1da86930eb,7423.360109329224,graph,138.42848317550562,610.5215214851706
95d42709440e,attention_warm,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T00:24:02+00:00,784,warm,7840,0.5,32,29477.75936126709,29334.172821044922,29734.79633331299,28993.98422241211,29503.27495574951,50,10,False,29471.424102783203,,False,29477.75936126709,6.335258483886719,18128484433920.0,4110417920.0,1027604480.0,614.9885482049324,139.4413282781923,0.234994892867244,471644.14978027344,0.032605427982647,0.8588730206273117,3920,3920,0.5,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,d3ca5a1da86930eb,29471.424102783203,graph,139.47130297011412,615.1207478368171
73da3ae71d7a,attention_warm,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T00:24:02+00:00,784,warm,7840,0.9,1,407.72800147533417,401.9999951124192,431.276798248291,375.67999958992004,413.2095980644226,50,10,False,373.29599261283875,,False,407.72800147533417,34.43200886249542,143514599424.0,51380224.0,32112640.0,351.9861253205638,126.01593173410801,0.5200612263715997,6523.648023605347,0.02946618077694552,0.4915723838360597,784,7056,0.9,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,d3ca5a1da86930eb,373.29599261283875,graph,137.63936666014155,384.4525584630241
88b1afa60bc4,attention_warm,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T00:24:02+00:00,784,warm,7840,0.9,8,1869.488000869751,1619.5775628089905,1902.4415731430054,1617.3440217971802,1833.8534355163574,50,10,False,1899.8719453811646,,False,1869.488000869751,-30.383944511413574,1148116795392.0,411041792.0,256901120.0,614.1343484728739,219.86864414683004,0.2980688776896924,29911.808013916016,0.05141166776659914,0.8576800730411598,784,7056,0.9,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,d3ca5a1da86930eb,1899.8719453811646,graph,216.3523667999288,604.3127265409761
cc281458181c,attention_warm,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T00:24:03+00:00,784,warm,7840,0.9,32,7502.239942550659,7460.524797439575,7599.702262878418,7451.231956481934,7530.6342124938965,50,10,False,7532.495975494385,,False,7502.239942550659,-30.256032943725586,4592467181568.0,1644167168.0,1027604480.0,612.146134585856,219.15683590373217,0.2990369875060052,120035.83908081055,0.05124522634858941,0.8549033981391952,784,7056,0.9,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,d3ca5a1da86930eb,7532.495975494385,graph,218.27654118223242,609.6873063734469
2fe15022a642,attention_warm,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T00:24:03+00:00,784,warm,7840,0.99,1,410.14400124549866,385.2191925048828,411.65760457515717,365.6960129737854,406.503683924675,50,10,False,364.6080046892166,,False,410.14400124549866,45.53599655628204,143514599424.0,51380224.0,32112640.0,349.9127111165449,125.27362059172358,0.5231428587315033,6562.3040199279785,0.029292606896141365,0.4886767209401974,784,7056,0.9,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,d3ca5a1da86930eb,364.6080046892166,graph,140.9190784053008,393.61340831320615
