point_id,benchmark,kernel,backend,regime,status,error,numerics_ok,max_abs_err,ts_utc,kind,distribution,total_tokens,sequences,seed,median_us,p10_us,p90_us,min_us,mean_us,repeats,warmup,unstable,graph_median_us,graph_error,l2_flush,eager_median_us,launch_overhead_us,flops,bytes_moved,state_bytes,achieved_tflops,achieved_gbps,us_per_token,per_step_us,bandwidth_util,compute_util,length_cv,max_over_mean,lengths,environment_hash,git_sha,git_dirty,image_digest,config_hash,kernel_us,kernel_time_source,kernel_gbps,kernel_tflops
5877c6406101,gdn_ragged,gdn,flashinfer,ragged,ok,,,,2026-09-22T00:22:56+00:00,ragged,uniform,4096,8,7,439.66399133205414,420.3167915344238,458.4640085697174,413.6959910392761,441.1315196752548,50,10,False,265.29599726200104,,False,439.66399133205414,174.3679940700531,26105348096.0,244547584,25657344,59.37567917924864,556.2147203801974,0.10733984163380228,21103.8715839386,0.13005913836436794,0.08292214396077832,0.0,1.0,"[512, 512, 512, 512, 512, 512, 512, 512]",0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,5749939aa3b86ab9,265.29599726200104,graph,921.7914575563298,98.40083667081822
68cad1948ab2,gdn_ragged,gdn,flashinfer,ragged,ok,,,,2026-09-22T00:22:56+00:00,ragged,uniform,4096,32,7,436.95999681949615,419.4144129753113,467.9616004228592,415.96800088882446,450.7686388492584,50,10,False,410.0320041179657,,False,436.95999681949615,26.927992701530457,26105348096.0,321519616,102629376,59.74310757509425,735.8101847772041,0.1066796867235098,20974.079847335815,0.1720537683116965,0.08343528251778931,0.0,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,5749939aa3b86ab9,410.0320041179657,graph,784.1329768675794,63.66661098115045
f3432826bb16,gdn_ragged,gdn,flashinfer,ragged,ok,,,,2026-09-22T00:22:56+00:00,ragged,uniform,4096,128,7,1024.463951587677,1022.3520159721375,1026.9984364509583,1021.3760137557983,1026.0313630104065,50,10,False,1013.8240456581116,,False,1024.463951587677,10.63990592956543,26105348096.0,629407744,410517504,25.48195869219496,614.3776391785839,0.2501132694305852,49174.269676208496,0.14365931618509173,0.035587275401058174,0.0,1.0,"[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,5749939aa3b86ab9,1013.8240456581116,graph,620.8254249793687,25.74938738906516
49a32ab969e1,gdn_ragged,gdn,flashinfer,ragged,ok,,,,2026-09-22T00:22:56+00:00,ragged,uniform,16384,8,7,863.8239800930023,861.8495881557465,866.3071811199188,859.7760200500488,865.480318069458,50,10,False,852.048009634018,,False,863.8239800930023,11.775970458984375,104421392384.0,901218304,25657344,120.88272008003023,1043.2892866703835,0.052723631597473286,41463.55104446411,0.2439513028284769,0.1688208784372103,0.0,1.0,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,5749939aa3b86ab9,852.048009634018,graph,1057.7083612777903,122.5534138960695
e76e169fd977,gdn_ragged,gdn,flashinfer,ragged,ok,,,,2026-09-22T00:22:56+00:00,ragged,uniform,16384,32,7,1010.6879472732544,1009.1135859489441,1013.2863759994507,1007.0400238037109,1012.8627157211304,50,10,False,993.8080012798309,,False,1010.6879472732544,16.879945993423462,104421392384.0,978190336,102629376,103.31714419442675,967.8460484653746,0.06168749678181484,48513.02146911621,0.22631048499889084,0.14428936599854417,0.0,1.0,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]",0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,5749939aa3b86ab9,993.8080012798309,graph,984.285027631375,105.07199806152255
f151e41a189d,gdn_ragged,gdn,flashinfer,ragged,ok,,,,2026-09-22T00:22:57+00:00,ragged,uniform,16384,128,7,1546.1919903755188,1543.8624024391174,1549.5360374450684,1542.5599813461304,1548.4665656089783,50,10,False,1534.0160131454468,,False,1546.1919903755188,12.175977230072021,104421392384.0,1286078464,410517504,67.5345578259266,831.7715212634456,0.09437206972506829,74217.2155380249,0.19449231278452647,0.0943165687328456,0.0,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,5749939aa3b86ab9,1534.0160131454468,graph,838.3735586716207,68.07060127741923
0cb6ee968e11,gdn_ragged,gdn,flashinfer,ragged,ok,,,,2026-09-22T00:22:57+00:00,ragged,jitter,4096,8,7,436.44799292087555,419.70241367816925,457.6383948326111,417.63201355934143,441.26912117004395,50,10,False,270.239993929863,,False,436.44799292087555,166.20799899101257,26105348096.0,244547584,25657344,59.81319313967538,560.3132285324416,0.10655468577169813,20949.503660202026,0.1310174884750875,0.08353316173965428,0.048886683635874326,1.07421875,"[511, 490, 550, 481, 536, 516, 479, 533]",0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,5749939aa3b86ab9,270.239993929863,graph,904.9274329967196,96.60060939305407
3462966493f2,gdn_ragged,gdn,flashinfer,ragged,ok,,,,2026-09-22T00:22:57+00:00,ragged,jitter,4096,32,7,432.3680102825165,428.905588388443,455.6512027978897,427.839994430542,439.9916809797287,50,10,False,422.5119948387146,,False,432.3680102825165,9.85601544380188,26105348096.0,321519616,102629376,60.37761230055464,743.6248944271196,0.10555859626038,20753.66449356079,0.17388107414592716,0.0843214111973381,0.06439391219466616,1.140625,"[126, 121, 135, 118, 132, 127, 118, 131, 117, 129, 118, 119, 129, 140, 120, 123, 135, 144, 133, 128, 146, 118, 141, 125, 121, 120, 125, 140, 122, 133, 135, 127]",0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,5749939aa3b86ab9,422.5119948387146,graph,760.971569866871,61.78605202904402
2024a46ec011,gdn_ragged,gdn,flashinfer,ragged,ok,,,,2026-09-22T00:22:57+00:00,ragged,jitter,4096,128,7,1024.992048740387,1023.0592012405396,1026.4095783233643,1020.3839540481567,1026.2278413772583,50,10,False,1013.7119889259338,,False,1024.992048740387,11.280059814453125,26105348096.0,629407744,410517504,25.468829858808046,614.0610990821631,0.25024219939950854,49199.618339538574,0.14358529992717947,0.035568940099008656,0.06346905003621844,1.125,"[31, 30, 33, 29, 33, 31, 29, 32, 29, 32, 29, 29, 32, 35, 30, 30, 33, 35, 33, 32, 35, 29, 35, 31, 30, 30, 31, 35, 30, 33, 33, 31, 33, 29, 29, 30, 34, 32, 31, 33, 32, 31, 34, 34, 30, 33, 32, 35, 34, 31, 35, 30, 32, 34, 30, 32, 29, 33, 34, 33, 35, 31, 34, 33, 33, 32, 35, 35, 32, 33, 29, 34, 33, 35, 35, 31, 31, 33, 29, 32, 30, 30, 29, 34, 30, 30, 31, 35, 29, 32, 33, 35, 35, 35, 31, 32, 31, 35, 35, 30, 30, 30, 30, 32, 33, 31, 29, 32, 31, 33, 36, 34, 32, 33, 34, 29, 35, 34, 35, 34, 31, 32, 29, 33, 29, 29, 30, 30]",0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,5749939aa3b86ab9,1013.7119889259338,graph,620.8940516397378,25.752233751974863
6b033272e4e6,gdn_ragged,gdn,flashinfer,ragged,ok,,,,2026-09-22T00:22:57+00:00,ragged,jitter,16384,8,7,873.3119964599609,871.2479829788208,875.9616196155548,869.7599768638611,875.0527942180634,50,10,False,862.5919818878174,,False,873.3119964599609,10.720014572143555,104421392384.0,901218304,25657344,119.56940109294314,1031.954567958713,0.05330273415893316,41918.975830078125,0.24130091675413015,0.1669867398198668,0.04824665990940026,1.0732421875,"[2044, 1962, 2198, 1925, 2144, 2063, 1918, 2130]",0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,5749939aa3b86ab9,862.5919818878174,graph,1044.77936605398,121.05537099413974
