point_id,benchmark,kernel,backend,regime,status,error,numerics_ok,max_abs_err,ts_utc,kind,page_size,new_tokens,cached,batch,median_us,p10_us,p90_us,min_us,mean_us,repeats,warmup,unstable,graph_median_us,graph_error,l2_flush,eager_median_us,launch_overhead_us,flops,bytes_moved,kv_bytes,achieved_tflops,achieved_gbps,us_per_new_token,per_step_us,bandwidth_util,compute_util,environment_hash,git_sha,git_dirty,image_digest,config_hash,kernel_us,kernel_time_source,kernel_gbps,kernel_tflops,kv
6c2391696e2b,attention_pages,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T01:12:13+00:00,warm,16,512,1568,1,79.76000010967255,78.84799689054489,80.4608017206192,78.3040001988411,80.6540796160698,50,10,False,79.45600152015686,,False,79.76000010967255,0.30399858951568604,22957522944.0,21102592.0,8519680.0,287.8325340074307,264.5761280213548,0.1557812502142042,1276.1600017547607,0.06186557453696476,0.4019775630608933,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,c88d93a7d2b2d19d,79.45600152015686,graph,265.58839604641537,288.93378102063195,
d5a3e205eb15,attention_pages,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T01:12:13+00:00,warm,16,512,1568,8,313.9840066432953,313.2448077201843,314.67519104480743,312.22400069236755,314.89984035491943,50,10,False,313.616007566452,,False,313.9840066432953,0.3679990768432617,183660183552.0,168820736.0,68157440.0,584.9348363805326,537.6730420278715,0.07665625162189826,5023.744106292725,0.1257235560398218,0.8169009833738903,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,c88d93a7d2b2d19d,313.616007566452,graph,538.3039510960824,585.6212027477083,
1292db888049,attention_pages,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T01:12:13+00:00,warm,16,512,15680,1,400.91200172901154,399.1999924182892,402.30719447135925,398.46399426460266,402.00127840042114,50,10,False,394.5759981870651,,False,400.91200172901154,6.336003541946411,200527577088.0,78905344.0,66322432.0,500.17853350158026,196.81462181153285,0.7830312533769757,6414.592027664185,0.046020968508024826,0.6985330851693993,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,c88d93a7d2b2d19d,394.5759981870651,graph,199.97502220748777,508.21027637097075,
f0de1170d640,attention_pages,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T01:12:14+00:00,warm,16,512,15680,8,2561.1519813537598,2341.3408994674683,2616.4543867111206,2340.5120372772217,2477.3504114151,50,10,False,2592.6880836486816,,False,2561.1519813537598,-31.536102294921875,1604220616704.0,631242752.0,530579456.0,626.3668178942079,246.46829106421916,0.6252812454476953,40978.431701660156,0.0576314369170943,0.8747635423062353,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,c88d93a7d2b2d19d,2592.6880836486816,graph,243.4703796345815,618.7480194094098,
b42bab0cb253,attention_pages,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T01:12:14+00:00,warm,16,512,62720,1,1554.3360114097595,1514.6912217140198,1715.3023719787598,1509.6960067749023,1572.6316809654236,50,10,False,1505.6480169296265,,False,1554.3360114097595,48.68799448013306,792427757568.0,271581184.0,258998272.0,509.8175373607151,174.72488702985137,3.0358125222846866,24869.376182556152,0.04085574765511554,0.7119946047123206,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,c88d93a7d2b2d19d,1505.6480169296265,graph,180.37494882357595,526.3034578187459,
10e19eabfea6,attention_pages,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T01:12:15+00:00,warm,16,512,62720,8,10098.143577575684,9976.172733306885,11293.72787475586,9960.831642150879,10397.754249572754,50,10,False,10130.080223083496,,False,10098.143577575684,-31.9366455078125,6339422060544.0,2172649472.0,2071986176.0,627.7809393225066,215.15335519933254,2.4653670843690634,161570.29724121094,0.05030909641208454,0.876738458337114,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,c88d93a7d2b2d19d,10130.080223083496,graph,214.47505095262386,625.8017627637645,
1e3e704bc3d0,attention_pages,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T01:12:15+00:00,warm,64,512,1568,1,106.08000308275223,105.5263988673687,107.07840323448181,105.15200346708298,106.95616006851196,50,10,False,105.31199723482132,,False,106.08000308275223,0.7680058479309082,22957522944.0,21102592.0,8519680.0,216.4170652039952,198.930914279273,0.20718750602100044,1697.2800493240356,0.04651581908424321,0.30224104017805914,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,c88d93a7d2b2d19d,105.31199723482132,graph,200.38165217725495,217.9953238642892,
55464a43890c,attention_pages,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T01:12:15+00:00,warm,64,512,1568,8,350.20801424980164,349.17760491371155,351.15519762039185,348.4799861907959,351.1840009689331,50,10,False,349.7920036315918,,False,350.20801424980164,0.41601061820983887,183660183552.0,168820736.0,68157440.0,524.4316979593623,482.05845991742785,0.08550000347895548,5603.328227996826,0.11271925326834087,0.7324042664758272,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,c88d93a7d2b2d19d,349.7920036315918,graph,482.6317761620574,525.0554090579918,
5299c21a6638,attention_pages,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T01:12:15+00:00,warm,64,512,15680,1,417.9360121488571,414.6815925836563,436.2944006919861,413.6640131473541,424.7142404317856,50,10,False,404.9919992685318,,False,417.9360121488571,12.944012880325317,200527577088.0,78905344.0,66322432.0,479.80449460904003,188.79766688278616,0.8162812737282366,6686.976194381714,0.04414637186012229,0.6700793645642097,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,c88d93a7d2b2d19d,404.9919992685318,graph,194.83185875897132,495.1396013999755,
729b1db807f2,attention_pages,flash_attn_3,flash_attn_3,warm,ok,,,,2026-09-22T01:12:16+00:00,warm,64,512,15680,8,2757.2320699691772,2249.9584197998047,2790.5728101730347,2246.527910232544,2573.7651205062866,50,10,False,2645.4079151153564,,False,2757.2320699691772,111.8241548538208,1604220616704.0,631242752.0,530579456.0,581.8228484198406,228.94074056198562,0.6731523608323187,44115.713119506836,0.053532987105481586,0.8125548821208557,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,c88d93a7d2b2d19d,2645.4079151153564,graph,238.61830472087098,606.417107750298,
