point_id,benchmark,kernel,backend,regime,status,error,numerics_ok,max_abs_err,ts_utc,kind,batch,median_us,p10_us,p90_us,min_us,mean_us,repeats,warmup,unstable,graph_median_us,graph_error,l2_flush,eager_median_us,launch_overhead_us,flops,bytes_moved,state_bytes,achieved_tflops,achieved_gbps,us_per_token,per_step_us,bandwidth_util,compute_util,environment_hash,git_sha,git_dirty,image_digest,config_hash,kernel_us,kernel_time_source,kernel_gbps,kernel_tflops,history
1931325f2f1e,gdn_decode,gdn,packed,decode,ok,,,,2026-09-22T00:20:20+00:00,decode,1,70.19199803471565,68.95360350608826,82.93439820408821,68.12799721956253,72.94272013008595,100,10,False,9.79200005531311,,False,70.19199803471565,60.39999797940254,6373376.0,6467776,6414336,0.09079918193592162,92.14406458128117,70.19199803471565,3369.2159056663513,0.02154595555586948,0.0001268071867149743,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,2d15a1157607af9f,9.79200005531311,graph,660.5163361381523,0.6508758133167927,
0b4456e838c5,gdn_decode,gdn,packed,decode,ok,,,,2026-09-22T00:20:20+00:00,decode,16,76.688002794981,74.4256004691124,91.35680198669434,72.80000299215317,80.38080006837845,50,10,False,34.063998609781265,,False,76.688002794981,42.62400418519974,101974016.0,103484416,102629376,1.3297258017348432,1349.42119012614,4.793000174686313,3681.024134159088,0.3155338232660591,0.0018570518414946298,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,2d15a1157607af9f,34.063998609781265,graph,3037.9409412694463,2.993600873701269,
753513bb2abd,gdn_decode,gdn,packed,decode,ok,,,,2026-09-22T00:20:20+00:00,decode,64,114.04799669981003,113.16799744963646,115.77600240707397,112.03200370073318,115.89952006936073,50,10,False,113.23199793696404,,False,114.04799669981003,0.815998762845993,407896064.0,413937664,410517504,3.5765298453565864,3629.504033197012,1.7819999484345317,5474.303841590881,0.8486833410754295,0.004994865352552115,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,2d15a1157607af9f,113.23199793696404,graph,3655.659809433355,3.602303866677992,
f759b9c5d2c0,gdn_decode,gdn,packed,decode,ok,,,,2026-09-22T00:20:20+00:00,decode,256,422.8159934282303,421.7503935098648,424.7487932443619,420.5760061740875,424.4518393278122,50,10,False,421.80800437927246,,False,422.8159934282303,1.0079890489578247,1631584256.0,1655750656,1642070016,3.858851796903347,3916.0076291698997,1.6516249743290246,20295.167684555054,0.9156761937727768,0.00538914701523043,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,2d15a1157607af9f,421.80800437927246,graph,3925.3656611770148,3.8680732443686545,
80e828bd711a,gdn_decode,gdn,packed,decode,ok,,,,2026-09-22T00:20:20+00:00,decode,1024,1657.9520106315613,1655.8719873428345,1659.7119569778442,1654.7839641571045,1659.3113613128662,50,10,False,1656.7040085792542,,False,1657.9520106315613,1.248002052307129,6526337024.0,6623002624,6568280064,3.936384757912222,3994.6889786496954,1.619093760382384,79581.69651031494,0.9340741759615493,0.005497427028922136,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,2d15a1157607af9f,1656.7040085792542,graph,3997.6981945493776,3.939350052998795,
e92caaa2f560,gdn_decode,gdn,packed,decode,ok,,,,2026-09-22T00:20:27+00:00,decode,64,114.15999755263329,113.36959898471832,115.68320170044899,112.15999722480774,115.97696006298065,50,10,False,123.44000115990639,,False,114.15999755263329,-9.280003607273102,407896064.0,413937664,410517504,3.573020959569837,3625.9431751402644,1.783749961759895,5479.679882526398,0.847850709155185,0.004989964956693529,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,2d15a1157607af9f,123.44000115990639,graph,3353.351102644416,3.3044074867724946,1024
5d79a7a1f4bf,gdn_decode,gdn,packed,decode,ok,,,,2026-09-22T00:20:27+00:00,decode,64,114.57600072026253,113.36639896035194,115.93600362539291,112.2559979557991,116.08767971396446,50,10,False,113.39199915528297,,False,114.57600072026253,1.1840015649795532,407896064.0,413937664,410517504,3.560048015603886,3612.7780809056985,1.790250011254102,5499.648034572601,0.8447723281812637,0.00497184736474326,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,2d15a1157607af9f,113.39199915528297,graph,3650.501508780521,3.5972208536636954,65536
7cf4f643bad7,gdn_decode,gdn,sigmoid_gating,decode,ok,,,,2026-09-22T00:20:28+00:00,decode,1,107.45599865913391,101.73119977116585,121.24160230159761,99.74399954080582,111.17119953036308,50,10,False,9.600000455975533,,False,107.45599865913391,97.85599820315838,6373376.0,6467776,6414336,0.05931149567756824,60.18999479514148,107.45599865913391,5157.887935638428,0.014074166997703568,8.283250736815625e-05,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,2d15a1157607af9f,9.600000455975533,graph,673.7266346663688,0.6638933018000936,
78457082dbd1,gdn_decode,gdn,sigmoid_gating,decode,ok,,,,2026-09-22T00:20:28+00:00,decode,16,148.8640010356903,139.96480107307434,162.233604490757,135.68000495433807,150.41791945695877,50,10,False,44.99199986457825,,False,148.8640010356903,103.87200117111206,101974016.0,103484416,102629376,0.685014612603027,695.1607862211731,9.304000064730644,7145.472049713135,0.16254875962078413,0.0009566691464702803,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,2d15a1157607af9f,44.99199986457825,graph,2300.0625958276696,2.266492183208845,
aefec5b75db8,gdn_decode,gdn,sigmoid_gating,decode,ok,,,,2026-09-22T00:20:28+00:00,decode,64,146.7999964952469,139.8047998547554,165.379199385643,136.9599997997284,151.45728051662445,50,10,False,125.15199929475784,,False,146.7999964952469,21.647997200489044,407896064.0,413937664,410517504,2.778583608571182,2819.738922905237,2.2937499452382326,7046.399831771851,0.6593367656196656,0.003880479569781893,0e6e08559dbe6eaf,11630473a039827ea1d1ee5d1fe37f174e2b87b7,False,sha256:c2914767605584b6d8f45686b82de173ecc99e781897aa3d0a66dacd72c51ae1,2d15a1157607af9f,125.15199929475784,graph,3307.479435666821,3.2592053366988067,
